condition,stage,scope,metric,value
FIXED_NOISE,robot_unit,gripper,within_chunk_second_delta_median,0.009282171726226807
FIXED_NOISE,robot_unit,gripper,within_chunk_second_delta_p95,0.024948835372924805
FIXED_NOISE,robot_unit,gripper,within_chunk_second_delta_p99,0.028638243675231934
FIXED_NOISE,robot_unit,gripper,within_chunk_second_delta_max,0.028638243675231934
FIXED_NOISE,robot_unit,gripper,oscillation_ratio,0.9523809523809523
FIXED_NOISE,robot_unit,arms,across_run_std_mean,0.0
FIXED_NOISE,robot_unit,arms,across_run_std_median,0.0
FIXED_NOISE,robot_unit,arms,across_run_std_p95,0.0
FIXED_NOISE,robot_unit,arms,across_run_std_p99,0.0
FIXED_NOISE,robot_unit,arms,across_run_std_max,0.0
FIXED_NOISE,robot_unit,arms,within_chunk_delta_mean,0.026701272446282055
FIXED_NOISE,robot_unit,arms,within_chunk_delta_median,0.024071570485830307
FIXED_NOISE,robot_unit,arms,within_chunk_delta_p95,0.05378267914056778
FIXED_NOISE,robot_unit,arms,within_chunk_delta_p99,0.05611683428287506
FIXED_NOISE,robot_unit,arms,within_chunk_delta_max,0.05611683428287506
FIXED_NOISE,robot_unit,arms,within_chunk_second_delta_mean,0.028689725634952385
FIXED_NOISE,robot_unit,arms,within_chunk_second_delta_median,0.027014613151550293
FIXED_NOISE,robot_unit,arms,within_chunk_second_delta_p95,0.05283474922180176
FIXED_NOISE,robot_unit,arms,within_chunk_second_delta_p99,0.059415340423583984
FIXED_NOISE,robot_unit,arms,within_chunk_second_delta_max,0.059415340423583984
FIXED_NOISE,robot_unit,arms,oscillation_ratio,0.4230769230769231
